shooter_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8471215,Evgeni Malkin,PIT,3,0,67.5,38.97,3,0,0.081473878,0.0594249583587367,-0.0594,-0.0198
8471215,Evgeni Malkin,PIT,4,-3,90.0,-25.98,1,0,0.031799555,0.02335548464934004,-0.0234,-0.0234
8471215,Evgeni Malkin,PIT,4,-2,90.0,0.0,11,1,1.4776714960000001,1.2050762536585253,-0.2051,-0.0186
8471215,Evgeni Malkin,PIT,4,-1,90.0,25.98,3,0,0.40194474,0.3248586171554543,-0.3249,-0.1083
8471215,Evgeni Malkin,PIT,4,0,90.0,51.96,1,0,0.020112228,0.014402301714856586,-0.0144,-0.0144
8471675,Sidney Crosby,PIT,0,-2,0.0,-51.96,1,0,0.047373995,0.0356184624318028,-0.0356,-0.0356
8471675,Sidney Crosby,PIT,0,-1,0.0,-25.98,1,0,0.52776307,0.4905991893422531,-0.4906,-0.4906
8471675,Sidney Crosby,PIT,0,0,0.0,0.0,1,0,0.019520776,0.013956255249263066,-0.014,-0.014
8471675,Sidney Crosby,PIT,1,0,22.5,12.99,1,0,0.0144747095,0.010185867891531118,-0.0102,-0.0102
8471675,Sidney Crosby,PIT,2,-1,45.0,0.0,4,0,0.31275398,0.24376751186666312,-0.2438,-0.061
8471675,Sidney Crosby,PIT,2,0,45.0,25.98,1,0,0.020527955,0.01471615265920268,-0.0147,-0.0147
8471675,Sidney Crosby,PIT,3,-3,67.5,-38.97,3,0,0.076588797,0.055728532098179455,-0.0557,-0.0186
8471675,Sidney Crosby,PIT,3,-2,67.5,-12.99,17,2,1.38518166,1.0975551900589773,0.9024,0.0531
8471675,Sidney Crosby,PIT,3,-1,67.5,12.99,14,1,1.304230672,1.0456164924975568,-0.0456,-0.0033
8471675,Sidney Crosby,PIT,3,0,67.5,38.97,5,0,0.13382603,0.09800031199917321,-0.098,-0.0196
8471675,Sidney Crosby,PIT,4,-3,90.0,-25.98,6,0,0.35412609899999997,0.27405260773200835,-0.2741,-0.0457
