shooter_id,goalie_id,hex_id,time_id,strength_state,goals,shots,offset_logit_xg,x_mean,y_mean
8470600.0,8481519.0,2_0,2025-02,EVEN,0,1,-3.3165023555006616,34.0,23.0
8470600.0,8481611.0,0_-2,2024-10,EVEN,0,1,-3.8213719958028833,5.0,-38.0
8470600.0,8481611.0,3_-2,2024-11,EVEN,0,1,-1.6549526331735849,76.0,-4.0
8470600.0,8481611.0,3_0,2024-11,EVEN,0,1,-4.138931242859356,57.0,38.0
8470600.0,8481611.0,4_-3,2024-10,PP,0,1,-3.633166112960892,85.0,-35.0
8470600.0,8481692.0,1_-2,2025-01,EVEN,0,1,-4.7078666477380935,24.0,-31.0
8470600.0,8481692.0,2_0,2025-01,EVEN,0,1,-3.800277992391846,56.0,31.0
8470600.0,8482137.0,2_0,2024-11,EVEN,0,1,-3.8343424988009667,44.0,27.0
8470600.0,8482821.0,1_-1,2025-03,EVEN,0,1,-3.070467445315511,31.0,-11.0
8470600.0,8482821.0,2_-2,2025-03,EVEN,0,1,-3.7119469517677017,43.0,-27.0
8470600.0,8482821.0,3_0,2025-02,EVEN,0,1,-4.085872700053003,69.0,36.0
8470600.0,8482982.0,2_-2,2024-10,EVEN,0,1,-3.800994419861807,38.0,-27.0
8470613.0,8473503.0,1_0,2025-02,EVEN,0,1,-3.1829967203310003,28.0,23.0
8470613.0,8473503.0,2_-1,2025-02,EVEN,0,1,-3.15588637883187,47.0,-10.0
8470613.0,8473503.0,2_-2,2025-02,EVEN,0,1,-3.6358921127022645,36.0,-27.0
8470613.0,8473503.0,2_-2,2025-04,EVEN,0,1,-3.4747458047116657,52.0,-33.0
8470613.0,8474593.0,1_-1,2024-12,EVEN,0,1,-4.3014387905909635,26.0,-20.0
8470613.0,8474593.0,1_-1,2025-04,EVEN,0,2,-2.968860662599385,30.0,-11.5
8470613.0,8474593.0,1_-2,2024-11,PP,0,1,-2.856107501451345,32.0,-26.0
8470613.0,8474593.0,1_-2,2024-12,EVEN,0,3,-4.024748069933113,28.666666666666668,-33.666666666666664
8470613.0,8474593.0,1_-2,2025-04,EVEN,0,1,-3.5816290899731156,32.0,-27.0
8470613.0,8474593.0,2_-1,2024-10,EVEN,0,1,-2.3761303549762993,56.0,15.0
8470613.0,8474593.0,2_-1,2024-10,PK,0,1,-3.066867783346324,34.0,-3.0
8470613.0,8474593.0,2_-1,2025-04,EVEN,0,1,-2.8054869621215133,43.0,-10.0
8470613.0,8474593.0,2_-1,2025-04,PP,0,1,-3.2075269713097705,36.0,6.0
8470613.0,8474593.0,2_-2,2024-11,EVEN,0,1,-3.620647945076761,35.0,-28.0
8470613.0,8474593.0,2_-2,2024-12,PP,0,1,-2.2923703455301143,41.0,-23.0
8470613.0,8474593.0,2_-2,2025-04,EVEN,1,2,-3.077202095554007,51.0,-20.5
8470613.0,8474593.0,2_0,2024-10,EVEN,0,1,-3.6014324951222374,48.0,17.0
8470613.0,8474593.0,2_0,2025-04,EVEN,0,1,-3.866324211506796,41.0,26.0
8470613.0,8474593.0,3_-1,2024-12,EVEN,0,1,-2.886400179531556,59.0,19.0
8470613.0,8474593.0,3_-3,2024-10,EVEN,0,1,-2.920042940156138,75.0,-25.0
8470613.0,8474593.0,3_-3,2024-11,EVEN,0,1,-3.7423641534452767,64.0,-41.0
8470613.0,8474593.0,3_-3,2025-04,EVEN,0,1,-2.7254154163324653,66.0,-28.0
8470613.0,8474596.0,2_1,2024-12,EVEN,0,1,-3.9633037908615427,35.0,36.0
8470613.0,8475311.0,1_-2,2025-02,EVEN,0,1,-3.944839766750734,30.0,-32.0
8470613.0,8475311.0,1_0,2025-02,EVEN,0,1,-3.652826288381445,22.0,17.0
8470613.0,8475660.0,1_-1,2025-04,EVEN,0,1,-2.9375365003937577,28.0,-2.0
8470613.0,8475660.0,1_-2,2025-04,EVEN,0,1,-4.155856115759779,30.0,-40.0
8470613.0,8475683.0,1_-1,2024-11,EVEN,0,1,-3.3076990186627486,26.0,-8.0
8470613.0,8475683.0,1_-1,2025-05,EVEN,0,1,-3.2044468357897316,29.0,-13.0
8470613.0,8475683.0,1_-2,2025-01,EVEN,0,2,-3.817364558420169,29.0,-32.5
8470613.0,8475683.0,1_0,2025-05,PK,0,1,-3.035949719761268,28.0,12.0
8470613.0,8475683.0,2_-1,2025-05,PK,0,2,-2.308735658175113,47.5,3.0
8470613.0,8475683.0,2_-2,2024-11,EVEN,0,1,-3.8584725935776993,46.0,-35.0
8470613.0,8475683.0,2_-2,2025-01,EVEN,0,1,-3.945703042914855,37.0,-39.0
8470613.0,8475683.0,2_-2,2025-05,PK,0,1,-3.867122908355352,42.0,-30.0
8470613.0,8475683.0,2_-2,2025-05,PP,0,1,-3.3507814773726836,42.0,-21.0
8470613.0,8475683.0,2_-3,2025-05,EVEN,0,1,-4.004646371681842,51.0,-39.0
8470613.0,8475683.0,2_0,2024-11,EVEN,0,1,-3.475783341389566,42.0,22.0
8470613.0,8475683.0,2_0,2025-05,EVEN,0,2,-3.682663555397937,39.0,26.0
8470613.0,8475717.0,2_-2,2025-03,EVEN,0,1,-3.9760534067387083,41.0,-39.0
8470613.0,8475852.0,1_-2,2025-01,EVEN,0,1,-4.167543041309663,31.0,-38.0
8470613.0,8475852.0,1_-2,2025-03,EVEN,0,2,-3.962406924957934,28.5,-33.5
8470613.0,8475852.0,2_-1,2025-01,EVEN,0,1,-3.419518848187952,40.0,-15.0
8470613.0,8476341.0,2_-2,2024-11,EVEN,0,2,-3.2854933717382107,44.0,-22.0
8470613.0,8476883.0,1_-1,2025-01,EVEN,0,1,-3.5730123306219683,33.0,-18.0
8470613.0,8476883.0,1_-2,2025-01,EVEN,0,1,-3.7505801271934676,30.0,-41.0
8470613.0,8476883.0,2_-1,2024-10,EVEN,0,1,-2.6784264165332754,47.0,14.0
8470613.0,8476883.0,2_-1,2025-03,EVEN,0,1,-3.1284012822554415,46.0,-9.0
8470613.0,8476883.0,2_-2,2025-03,PK,0,1,-2.9029585707494974,43.0,-15.0
8470613.0,8476914.0,2_0,2024-10,EVEN,0,1,-3.930733431526261,51.0,33.0
8470613.0,8476914.0,3_-3,2025-03,EVEN,1,1,-3.846143946088768,76.0,-31.0
8470613.0,8476932.0,3_-3,2025-02,EVEN,0,1,-3.8560409500107036,65.0,-39.0
8470613.0,8476999.0,3_-3,2024-12,EVEN,0,2,-3.358488238010989,71.5,-34.0
8470613.0,8477405.0,1_-2,2025-01,EVEN,0,1,-3.7834869289833777,15.0,-39.0
8470613.0,8477405.0,1_1,2025-01,EVEN,0,1,-0.05166080646538845,14.0,25.0
8470613.0,8477424.0,2_-1,2025-03,EVEN,0,1,-2.6962106089825957,47.0,14.0
8470613.0,8477480.0,2_-2,2025-02,EVEN,0,1,-3.5401408460730037,38.0,-18.0
8470613.0,8477970.0,2_-2,2024-12,PK,0,1,-3.54607772764205,35.0,-25.0
8470613.0,8477970.0,3_-1,2024-12,EVEN,0,1,-1.8964002303577288,68.0,16.0
8470613.0,8477992.0,2_-2,2024-10,EVEN,0,1,-3.8060298765846468,37.0,-33.0
8470613.0,8478007.0,1_-2,2024-11,EVEN,0,1,-3.6692704746376887,28.0,-28.0
8470613.0,8478007.0,2_-1,2024-12,EVEN,0,1,-3.406452873006714,36.0,-9.0
8470613.0,8478007.0,2_-2,2024-11,EVEN,0,1,-3.7603266113025215,46.0,-38.0
8470613.0,8478007.0,2_-2,2024-12,EVEN,0,1,-3.7791792881376782,44.0,-34.0
8470613.0,8478009.0,1_-2,2024-12,EVEN,0,3,-4.003325061912085,31.333333333333332,-35.333333333333336
8470613.0,8478009.0,1_0,2024-12,EVEN,0,1,-3.479234510028009,31.0,19.0
8470613.0,8478009.0,2_-2,2024-12,EVEN,0,1,-3.8347901931454613,48.0,-29.0
8470613.0,8478009.0,2_-3,2024-12,EVEN,0,1,-3.907031352922224,42.0,-41.0
8470613.0,8478009.0,2_0,2024-12,EVEN,0,1,-2.8851877821369936,49.0,19.0
8470613.0,8478009.0,3_0,2024-12,PP,0,1,-3.2235853421292306,57.0,24.0
8470613.0,8478009.0,4_-2,2024-12,EVEN,0,1,-1.9780273561306598,80.0,-14.0
8470613.0,8478048.0,1_-2,2024-12,PP,0,1,-3.8129573400810095,30.0,-30.0
8470613.0,8478048.0,1_-2,2025-01,EVEN,0,1,-4.591100201778781,29.0,-39.0
8470613.0,8478048.0,2_-1,2024-12,PP,0,1,-3.52976295828453,34.0,-17.0
8470613.0,8478048.0,2_0,2024-12,EVEN,0,1,-3.277487022213081,46.0,21.0
8470613.0,8478048.0,2_0,2025-04,PK,0,1,-3.1531553117347526,36.0,11.0
8470613.0,8478048.0,3_-1,2024-11,EVEN,0,1,-1.4020048799943514,58.0,4.0
8470613.0,8478048.0,3_-3,2024-12,EVEN,0,1,-3.6757044138258554,66.0,-40.0
8470613.0,8478435.0,3_-2,2024-10,EVEN,0,1,-3.5143189038299774,58.0,-30.0
8470613.0,8478470.0,1_-2,2025-04,EVEN,0,1,-3.943662156396046,26.0,-30.0
8470613.0,8478470.0,2_0,2025-03,EVEN,0,1,-2.9582067032035617,46.0,16.0
8470613.0,8478470.0,3_-2,2025-02,EVEN,0,1,-3.1390225736896316,59.0,-28.0
8470613.0,8478499.0,1_-1,2025-01,PK,0,1,-2.787144411641344,30.0,2.0
