player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Kevin Lankinen,VAN,G,8480947,1425,114.0,129.00048828125,15.0,0.69,109.57002258300781,1.02297043800354,0.92,0.9095
Dennis Hildeby,TOR,G,8483710,878,52.0,73.27516174316406,21.28,0.26,61.84547424316406,0.842481255531311,0.9408,0.9165
Nico Daws,NJD,G,8482076,69,5.0,6.608617782592773,1.61,0.01,4.890185356140137,0.7362105846405029,0.9275,0.9042
Jacob Markstrom,NJD,G,8474593,1347,103.0,112.96585845947266,9.97,0.12,95.65101623535156,0.7260566353797913,0.9235,0.9161
Sergei Murashov,PIT,G,8483703,266,17.0,22.224706649780273,5.22,0.08,18.4384765625,0.6135601997375488,0.9361,0.9164
8481529,COL,G,8481529,261,13.0,21.005592346191406,8.01,0.04,17.390357971191406,0.5523442029953003,0.9502,0.9195
8476914,BOS,G,8476914,1023,72.0,89.62855529785156,17.63,0.45,76.23751831054688,0.5290181636810303,0.9296,0.9124
Pyotr Kochetkov,CAR,G,8481611,324,22.0,29.13744354248047,7.14,0.11,24.450687408447266,0.4883075952529907,0.9321,0.9101
James Reimer,OTT,G,8473503,310,24.0,24.917522430419922,0.92,-0.08,20.659744262695312,0.4828205108642578,0.9226,0.9196
Charlie Lindgren,WSH,G,8479292,914,73.0,83.95654296875,10.96,0.34,71.52782440185547,0.3995932936668396,0.9201,0.9081
Carson Bjarnason,PHI,G,8484147,31,3.0,6.291929244995117,3.29,-0.04,5.0006537437438965,0.3934282660484314,0.9032,0.797
Arvid Soderblom,CHI,G,8482821,907,75.0,83.12591552734375,8.13,0.36,71.00364685058594,0.18153782188892365,0.9173,0.9084
Garin Bjorklund,WSH,G,8482188,28,0.0,2.4534034729003906,2.45,-0.01,1.957217812538147,0.11662779003381729,1.0,0.9124
Antoine Bibeau,,G,8477312,29,1.0,3.029928684234619,2.03,0.01,2.503614664077759,0.10613548755645752,0.9655,0.8955
Caleb Heil,TBL,G,8485657,15,0.0,2.381739854812622,2.38,0.02,1.9636950492858887,0.10159903764724731,1.0,0.8412
Artur Akhtyamov,TOR,G,8482515,71,5.0,6.3026862144470215,1.3,-0.03,5.263819694519043,0.07821016758680344,0.9296,0.9112
Parker Gahagen,,G,8480481,30,5.0,6.298276901245117,1.3,-0.0,5.403892993927002,0.061271220445632935,0.8333,0.7901
Linus Ullmark,OTT,G,8476999,1246,98.0,103.33384704589844,5.33,0.58,88.55110168457031,0.052082791924476624,0.9213,0.9171
Jakub Malek,NJD,G,8482867,23,1.0,2.1737747192382812,1.17,-0.02,1.7794163227081299,0.04814789071679115,0.9565,0.9055
Ryan Fanti,TBL,G,8483534,13,0.0,1.448644995689392,1.45,0.0,1.1910518407821655,0.04498280584812164,1.0,0.8886
Matt Murray,NSH,G,8483575,24,1.0,2.319913864135742,1.32,-0.02,1.9242700338363647,0.03347842022776604,0.9583,0.9033
Samuel Jonsson,EDM,G,8483769,17,0.0,1.137715458869934,1.14,-0.01,0.9300104975700378,0.029543191194534302,1.0,0.9331
Owen Say,CGY,G,8485465,11,0.0,0.9387397766113281,0.94,-0.01,0.7700986862182617,0.021128294989466667,1.0,0.9147
Filip Larsson,,G,8479548,13,1.0,1.1484156847000122,0.15,0.03,0.9938097596168518,0.015470254234969616,0.9231,0.9117
Zach Sawchenko,CBJ,G,8479313,11,1.0,0.7445454001426697,-0.26,0.0,0.6225457787513733,0.015367457643151283,0.9091,0.9323
Nikita Quapp,CAR,G,8482895,22,2.0,2.4854226112365723,0.49,-0.04,2.0647177696228027,0.014017929323017597,0.9091,0.887
Rémi Poirier,DAL,G,8482465,27,3.0,2.5730767250061035,-0.43,-0.01,2.1699249744415283,0.013628954999148846,0.8889,0.9047
Vyacheslav Peksa,TOR,G,8482940,27,2.0,2.474231481552124,0.47,-0.01,2.0795769691467285,0.011726580560207367,0.9259,0.9084
Simon Zajicek,BOS,G,8485538,7,0.0,0.63639235496521,0.64,-0.01,0.5246806740760803,0.010176198557019234,1.0,0.9091
Gabriel Carriere,SJS,G,8484887,22,0.0,2.0432279109954834,2.04,0.02,1.7508842945098877,0.009731072932481766,1.0,0.9071
Magnus Chrona,NSH,G,8480992,27,2.0,2.3394691944122314,0.34,-0.01,1.9731789827346802,0.00818554311990738,0.9259,0.9134
Nathaniel Day,EDM,G,8484455,12,0.0,0.6025829911231995,0.6,-0.01,0.49836021661758423,0.0030013788491487503,1.0,0.9498
Jesper Vikman,VGK,G,8482484,12,1.0,1.0843335390090942,0.08,0.0,0.9215885400772095,0.001464957371354103,0.9167,0.9096
Vadim Zherenko,STL,G,8481689,9,1.0,0.6676783561706543,-0.33,-0.0,0.5689032673835754,-0.005252460017800331,0.8889,0.9258
Kyle Keyser,,G,8480356,6,1.0,0.410811185836792,-0.59,-0.01,0.3464503288269043,-0.005508723668754101,0.8333,0.9315
Evan Gardner,CBJ,G,8484997,8,0.0,0.7612723112106323,0.76,-0.01,0.6518563032150269,-0.011698553338646889,1.0,0.9048
Michal Postava,DET,G,8485545,25,2.0,1.7841628789901733,-0.22,-0.02,1.5134353637695312,-0.016004646196961403,0.92,0.9286
Marc-Andre Fleury,,G,8470594,14,0.0,0.9029139876365662,0.9,-0.01,0.7821593880653381,-0.025661233812570572,1.0,0.9355
Kirill Gerasimyuk,FLA,G,8482914,12,3.0,0.837265133857727,-2.16,-0.01,0.7533054351806641,-0.045788638293743134,0.75,0.9302
Will Cranley,STL,G,8482205,11,3.0,1.0920370817184448,-1.91,-0.0,0.9760003089904785,-0.051444161683321,0.7273,0.9007
