goalie_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8474593,Jacob Markstrom,NJD,1,-2,22.5,-38.97,14,0,0.330038124,0.27759016452794244,0.2776,0.0198
8474593,Jacob Markstrom,NJD,1,-1,22.5,-12.99,29,1,1.13942178,0.9514472200085446,-0.0486,-0.0017
8474593,Jacob Markstrom,NJD,1,0,22.5,12.99,17,0,0.63124012,0.5275160009650253,0.5275,0.031
8474593,Jacob Markstrom,NJD,1,1,22.5,38.97,14,0,0.598983045,0.5003061785199977,0.5003,0.0357
8474593,Jacob Markstrom,NJD,2,-3,45.0,-51.96,1,0,0.021374702,0.01801546831853674,0.018,0.018
8474593,Jacob Markstrom,NJD,2,-2,45.0,-25.98,67,2,2.685396177,2.2414703641518443,0.2415,0.0036
8474593,Jacob Markstrom,NJD,2,-1,45.0,0.0,66,4,5.177609054,4.310248549831231,0.3102,0.0047
8474593,Jacob Markstrom,NJD,2,0,45.0,25.98,57,1,1.81328211,1.5183307153935786,0.5183,0.0091
8474593,Jacob Markstrom,NJD,2,1,45.0,51.96,5,0,0.113636597,0.09564550938906383,0.0956,0.0191
8474593,Jacob Markstrom,NJD,3,-3,67.5,-38.97,24,3,0.920058096,0.7685128801665794,-2.2315,-0.093
8474593,Jacob Markstrom,NJD,3,-2,67.5,-12.99,126,15,15.499653531,12.908842263463775,-2.0912,-0.0166
8474593,Jacob Markstrom,NJD,3,-1,67.5,12.99,104,14,11.376538487,9.457840294588838,-4.5422,-0.0437
8474593,Jacob Markstrom,NJD,3,0,67.5,38.97,23,3,0.861789473,0.7200473385143384,-2.28,-0.0991
8474593,Jacob Markstrom,NJD,4,-3,90.0,-25.98,11,0,0.763652918,0.6355831159129364,0.6356,0.0578
8474593,Jacob Markstrom,NJD,4,-2,90.0,0.0,141,20,18.916774949,15.7489956756284,-4.251,-0.0301
8474593,Jacob Markstrom,NJD,4,-1,90.0,25.98,26,0,2.063828513,1.7144926516322754,1.7145,0.0659
8474596,Jake Allen,NJD,0,-1,0.0,-25.98,4,0,0.065647318,0.05556130983551584,0.0556,0.0139
8474596,Jake Allen,NJD,0,0,0.0,0.0,1,0,0.00889457,0.007611527516498312,0.0076,0.0076
8474596,Jake Allen,NJD,0,1,0.0,25.98,6,0,0.10488388700000001,0.08863699176023077,0.0886,0.0148
8474596,Jake Allen,NJD,1,-2,22.5,-38.97,18,0,0.877187017,0.7533813419660312,0.7534,0.0419
8474596,Jake Allen,NJD,1,-1,22.5,-12.99,28,0,1.020860628,0.8533767504420516,0.8534,0.0305
