player_name,team,position,shooter_id,mu_theta,theta_latest,theta_min,theta_max,shots_taken,goals_actual,goals_xg_only,fsax_raw,goalie_difficulty_adj,fsax
Cole Schwindt,FLA,C,8481655,-4.04859019909054e-06,0.005656779743731022,0.004741248209029436,0.0057113333605229855,26.0,4.0,2.622,1.378,-0.022,0.01
Aliaksei Protas,WSH,C,8481656,3.689810910145752e-07,0.0007401082548312843,0.00040587771218270063,0.0011664764024317265,206.0,16.0,19.194,-3.194,-0.029,0.0076
Mason Millman,,D,8481658,-3.0623918956251828e-09,7.600527897011489e-05,2.3272732505574822e-06,7.622265547979623e-05,3.0,0.0,0.067,-0.067,-0.0,-0.0
Henrik Rybinski,WSH,R,8481662,1.6469608965508087e-07,0.00012094803969375789,4.182056727586314e-05,0.00012116544530726969,1.0,0.0,0.047,-0.047,0.001,-0.0
Keean Washkurak,,C,8481667,-3.349161836752046e-09,4.0034865378402174e-05,-2.71134776994586e-05,4.025231464765966e-05,2.0,0.0,0.076,-0.076,0.004,-0.0
Max Guenette,PHI,D,8481679,-1.7820088737963147e-09,0.00021922728046774864,0.00014004079275764525,0.00021944464242551476,,,,,,
Aidan McDonough,,L,8481683,-3.108845589849807e-07,-0.0007867228123359382,-0.0008597437990829349,-0.0007867228123359382,5.0,0.0,0.475,-0.475,-0.005,-0.0003
Aku Raty,,R,8481699,-1.9172391674260325e-08,0.00021920546714682132,0.00014002082752995193,0.00021941409795545042,,,,,,
Valtteri Puustinen,COL,R,8481703,8.384573391140293e-08,-0.0004216347588226199,-0.0004944994580000639,-0.0004214160144329071,2.0,0.0,0.3,-0.3,-0.001,-0.0001
Juuso Parssinen,NYR,C,8481704,2.542313097819715e-07,0.005008616950362921,0.004489508923143148,0.005054751876741648,18.0,3.0,1.515,1.485,0.004,0.0055
Zac Jones,BUF,D,8481708,-4.468325641937554e-06,-0.0004921857616864145,-0.000565388472750783,-0.000491931801661849,8.0,0.0,0.328,-0.328,0.002,-0.0002
Matias Maccelli,TOR,L,8481711,-1.1752899098382841e-07,0.0069240122102200985,0.005222600419074297,0.007053439971059561,108.0,10.0,9.608,0.392,-0.018,0.0467
Matěj  Blümel,BOS,R,8481712,-1.3173233526231343e-07,-0.0031537790782749653,-0.0031765224412083626,-0.0026732664555311203,25.0,1.0,2.572,-1.572,0.006,-0.0057
Hunter Skinner,STL,D,8481715,-5.017871899326565e-06,-0.000857177481520921,-0.0009278591023758054,-0.0008455421193502843,7.0,0.0,0.494,-0.494,0.001,-0.0004
Dmitri Voronkov,CBJ,L,8481716,-4.111588714295067e-05,0.01015947014093399,0.00801986176520586,0.010606510564684868,179.0,18.0,17.834,0.166,-0.011,0.1277
Max Crozier,TBL,D,8481719,3.6587724849823644e-08,-0.0068866899237036705,-0.006889738142490387,-0.005080724600702524,74.0,1.0,3.711,-2.711,0.035,-0.0183
Nick Abruzzese,TBL,C,8481720,8.588313903601374e-06,-0.001328716753050685,-0.0014091512421146035,-0.001328716753050685,4.0,0.0,0.71,-0.71,0.008,-0.0008
Arseny Gritsyuk,NJD,R,8481721,2.6306666768505238e-05,-0.003737395629286766,-0.003833463415503502,-0.0012163911014795303,208.0,13.0,16.385,-3.385,-0.068,-0.0326
Elmer Soderblom,DET,L,8481725,-2.63179146031689e-07,-0.011676482856273651,-0.011678261682391167,-0.008443957194685936,76.0,2.0,6.633,-4.633,-0.01,-0.0515
Adam Edstrom,NYR,C,8481726,3.8206565022846917e-08,0.0012601111084222794,0.000691672321408987,0.0012603296199813485,34.0,3.0,3.364,-0.364,-0.007,0.0018
Jack Malone,,R,8481731,-3.0480482582362356e-09,0.0002192289539379999,0.00014004095282871276,0.00021944657783024013,,,,,,
Andre Lee,LAK,L,8481732,-7.732658247050495e-08,0.0008127892506308854,0.0001700269931461662,0.0008332777651958168,12.0,1.0,1.19,-0.19,0.005,0.0003
Matt Stienburg,COL,C,8481737,-5.0991960875990117e-08,-0.0007043602527119219,-0.0007715078536421061,-0.0007041440112516284,4.0,0.0,0.408,-0.408,0.005,-0.0003
Marc Del Gaizo,MTL,D,8481743,3.4345242738709203e-07,-0.0005135699175298214,-0.0005847301799803972,-0.0005125940078869462,5.0,0.0,0.343,-0.343,-0.001,-0.0002
Rhett Pitlick,,L,8481746,8.057162631303072e-05,-0.00012184679508209229,-0.0002003642584895715,-0.00012001171126030385,2.0,0.0,0.167,-0.167,-0.002,-0.0
Lukas Rousek,,R,8481751,-2.0791082633309088e-08,0.00021920702420175076,0.00014004678814671934,0.0002194511762354523,,,,,,
Nikita Nesterenko,ANA,C,8481754,-7.979019045478708e-08,-0.008792341686785221,-0.00879731960594654,-0.006433076225221157,50.0,1.0,4.361,-3.361,0.019,-0.0255
Tye Kartye,NYR,L,8481789,-3.041152751848131e-08,-0.001041004667058587,-0.001373069710098207,-0.0010298631386831403,60.0,3.0,4.252,-1.252,0.001,-0.0046
Louis Crevier,CHI,D,8481806,1.766868784613962e-08,-0.003713018726557493,-0.003713018726557493,-0.0016969580901786685,139.0,5.0,6.916,-1.916,0.001,-0.0172
Navrin Mutter,NSH,L,8481817,3.097739522672782e-07,8.587859338149428e-05,6.65112747810781e-06,8.603750029578805e-05,1.0,0.0,0.064,-0.064,0.001,-0.0
Jackson Van De Leest,,D,8481820,3.3026586265805236e-07,0.00021922461746726185,0.00014013955660630018,0.00021944200852885842,,,,,,
Ben McCartney,UTA,L,8481827,-2.0616790052940814e-08,-0.0001758734870236367,-0.0002487350720912218,-0.0001756561396177858,2.0,0.0,0.181,-0.181,0.003,-0.0001
Jacob Gaucher,PHI,C,8481848,-7.636272414401901e-08,-0.0018925329204648733,-0.0019307895563542843,-0.001688856864348054,11.0,0.0,0.889,-0.889,-0.001,-0.0013
Zack Hayes,,D,8481849,0.00014324544463306665,0.00021922661107964814,0.00014067378651816398,0.0002194440021412447,,,,,,
Drew O'Connor,VAN,L,8482055,3.096924956480507e-06,0.005779691971838474,0.003296762704849243,0.005791583098471165,153.0,13.0,14.165,-1.165,-0.029,0.0509
Tory Dello,,D,8482060,-9.890753993602175e-09,0.00021924817701801658,0.00014003754768054932,0.00021942975581623614,,,,,,
Brandon Biro,,L,8482061,-2.991838528032531e-07,0.00021882362489122897,0.0001403133210260421,0.00021957792341709137,,,,,,
Cole Smith,VGK,R,8482062,1.0491661583955647e-07,-0.013053780421614647,-0.013056094758212566,-0.007775910664349794,88.0,4.0,8.747,-4.747,0.006,-0.0719
Nathan Sucese,,L,8482064,-6.326148991320224e-07,0.0002192132524214685,0.00013984715042170137,0.00021943064348306507,,,,,,
Colton Poolman,,D,8482066,-8.60263948965212e-09,0.0002192186948377639,0.00014003270189277828,0.00021943608589936048,,,,,,
Connor Mackey,NYR,D,8482067,-0.0001327531790593639,-5.0260015996173024e-05,-0.00013279904669616371,-5.004327977076173e-05,5.0,0.0,0.123,-0.123,-0.001,-0.0
Mitchell Chaffee,TBL,R,8482070,2.19469683315765e-07,0.0020081570837646723,0.0019601460080593824,0.002178565599024296,15.0,2.0,1.478,0.522,-0.003,0.0021
Jack Ahcan,COL,D,8482072,-6.19619626718304e-08,-0.0016693633515387774,-0.0016733394004404545,-0.0014543943107128143,16.0,0.0,0.77,-0.77,0.002,-0.001
Braden Schneider,NYR,D,8482073,-5.18247761647217e-05,-0.009335406124591827,-0.009335406124591827,-0.005974175408482552,122.0,2.0,5.408,-3.408,-0.006,-0.0351
Connor Zary,CGY,C,8482074,6.44982501398772e-05,-0.00546425674110651,-0.005551634356379509,-0.004748041275888681,141.0,9.0,13.339,-4.339,-0.007,-0.0548
Dylan Holloway,STL,L,8482077,4.149128017161274e-06,0.01091127097606659,0.007976843975484371,0.01091342605650425,132.0,13.0,11.784,1.216,0.037,0.0826
Lucas Raymond,DET,L,8482078,-5.152074663783424e-06,0.01708024926483631,0.010726390406489372,0.017113838344812393,216.0,22.0,21.124,0.876,0.051,0.2249
Marco Rossi,VAN,C,8482079,6.187875669638743e-07,0.005734333768486977,0.005627038888633251,0.006067512556910515,68.0,8.0,6.964,1.036,0.008,0.0293
Noel Gunler,CAR,R,8482080,-6.6669145759590265e-09,0.0016639919485896826,0.001540444791316986,0.0016642027767375112,7.0,1.0,0.526,0.474,0.006,0.0006
Sean Farrell,MTL,C,8482081,3.655439329008914e-08,0.0027182225603610277,0.0025429234374314547,0.0027184404898434877,5.0,2.0,1.211,0.789,0.007,0.0018
Ryder Rolston,NSH,R,8482082,-5.5022006563376635e-05,0.001687048701569438,0.0016083380905911326,0.0017123670550063252,6.0,1.0,0.493,0.507,-0.003,0.0005
Brandon Coe,,R,8482086,-9.082426913664676e-06,0.00022167085262481123,0.0001413149875588715,0.00022167085262481123,,,,,,
Kaiden Guhle,MTL,D,8482087,3.412692649362725e-06,-0.003967748023569584,-0.003967748023569584,-0.002300844294950366,43.0,1.0,2.392,-1.392,-0.0,-0.006
Justin Sourdif,WSH,R,8482088,6.904641486471519e-05,4.76837158203125e-05,-0.0011872544419020414,0.00039563910104334354,144.0,11.0,13.916,-2.916,-0.002,-0.0056
Jake Neighbours,STL,L,8482089,6.521821660498972e-08,0.012880018912255764,0.0097750099375844,0.01289395708590746,97.0,13.0,10.903,2.097,0.02,0.0941
Jack Finley,STL,C,8482090,-1.8496838549708627e-07,0.00015605599037371576,-0.00041701761074364185,0.0002697172458283603,25.0,2.0,2.655,-0.655,0.021,-0.0005
Luke Prokop,,D,8482091,-7.58217453267207e-08,-7.540680235251784e-05,-0.00014822259254287928,-7.519053178839386e-05,4.0,0.0,0.135,-0.135,0.001,-0.0
Ridly Greig,OTT,C,8482092,-1.1568332070055476e-07,-0.0041505456902086735,-0.004441762343049049,-0.0033986400812864304,138.0,10.0,13.931,-3.931,-0.055,-0.0432
Seth Jarvis,CAR,C,8482093,5.7149581067506006e-08,0.005248004570603371,0.004017885308712721,0.005271590780466795,249.0,25.0,28.248,-3.248,-0.044,0.095
