player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Parker Gahagen,,G,8480481,20,1.0,2.330984592437744,1.33,-0.0,1.9722143411636353,0.0037246719002723694,0.95,0.8835
Jakub Malek,NJD,G,8482867,23,1.0,2.1737747192382812,1.17,-0.01,1.7999507188796997,0.003336440771818161,0.9565,0.9055
Ryan Fanti,TBL,G,8483534,13,0.0,1.448644995689392,1.45,0.01,1.211713194847107,0.0032610753551125526,1.0,0.8886
Devon Levi,BUF,G,8482221,15,0.0,1.2849416732788086,1.28,-0.0,1.0633232593536377,0.0026461612433195114,1.0,0.9143
Caleb Heil,TBL,G,8485657,12,0.0,1.217234492301941,1.22,0.0,1.0132462978363037,0.002334998920559883,1.0,0.8986
Antoine Bibeau,,G,8477312,26,1.0,1.9576427936553955,0.96,-0.0,1.6299889087677002,0.0022485111840069294,0.9615,0.9247
Samuel Jonsson,EDM,G,8483769,17,0.0,1.137715458869934,1.14,-0.01,0.9382054209709167,0.001995635684579611,1.0,0.9331
Joel Blomqvist,PIT,G,8482446,15,0.0,0.9543836116790771,0.95,-0.0,0.7925325036048889,0.0014591272920370102,1.0,0.9364
Owen Say,CGY,G,8485465,11,0.0,0.9387397766113281,0.94,-0.0,0.7761645913124084,0.0014080554246902466,1.0,0.9147
Marc-Andre Fleury,,G,8470594,14,0.0,0.9029139876365662,0.9,-0.0,0.7490150928497314,0.0013208864256739616,1.0,0.9355
Evan Gardner,CBJ,G,8484997,8,0.0,0.7612723112106323,0.76,-0.0,0.6300345659255981,0.0008964259177446365,1.0,0.9048
Georgi Romanov,STL,G,8484312,15,1.0,1.55539870262146,0.56,0.0,1.3047099113464355,0.0008798204362392426,0.9333,0.8963
Calle Clang,ANA,G,8482477,62,4.0,4.900728225708008,0.9,-0.0,4.069442272186279,0.0008230702951550484,0.9355,0.921
Simon Zajicek,BOS,G,8485538,7,0.0,0.63639235496521,0.64,-0.0,0.5298158526420593,0.0006080847233533859,1.0,0.9091
Nathaniel Day,EDM,G,8484455,12,0.0,0.6025829911231995,0.6,-0.0,0.4985445439815521,0.000589463859796524,1.0,0.9498
Nikita Quapp,CAR,G,8482895,22,2.0,2.4854226112365723,0.49,-0.0,2.073030471801758,0.00034645479172468185,0.9091,0.887
Vyacheslav Peksa,TOR,G,8482940,27,2.0,2.474231481552124,0.47,-0.0,2.054466724395752,0.0002475809305906296,0.9259,0.9084
Filip Larsson,,G,8479548,13,1.0,1.1484156847000122,0.15,-0.0,0.9532581567764282,-0.00010479521006345749,0.9231,0.9117
Jesper Vikman,VGK,G,8482484,12,1.0,1.0843335390090942,0.08,0.0,0.9011874198913574,-0.00020228512585163116,0.9167,0.9096
Magnus Chrona,NSH,G,8480992,27,2.0,2.3394691944122314,0.34,0.0,1.9522745609283447,-0.00020542461425065994,0.9259,0.9134
Kyle Keyser,,G,8480356,6,1.0,0.410811185836792,-0.59,-0.0,0.34228792786598206,-0.00050380639731884,0.8333,0.9315
Zach Sawchenko,CBJ,G,8479313,11,1.0,0.7445454001426697,-0.26,0.0,0.6204650402069092,-0.0005544945597648621,0.9091,0.9323
Vadim Zherenko,STL,G,8481689,9,1.0,0.6676783561706543,-0.33,-0.0,0.5547117590904236,-0.0005670860409736633,0.8889,0.9258
Hunter Shepard,OTT,G,8482411,27,2.0,2.289926052093506,0.29,-0.0,1.906042456626892,-0.0017994474619626999,0.9259,0.9152
Michal Postava,DET,G,8485545,25,2.0,1.7841628789901733,-0.22,-0.0,1.4828100204467773,-0.0018065553158521652,0.92,0.9286
Isaac Poulter,WPG,G,8483659,17,2.0,1.6753811836242676,-0.32,-0.0,1.3941649198532104,-0.001845790073275566,0.8824,0.9014
Kirill Gerasimyuk,FLA,G,8482914,12,3.0,0.837265133857727,-2.16,0.0,0.6990816593170166,-0.003728797659277916,0.75,0.9302
Rémi Poirier,DAL,G,8482465,27,3.0,2.5730767250061035,-0.43,-0.0,2.1433470249176025,-0.004120180383324623,0.8889,0.9047
Will Cranley,STL,G,8482205,11,3.0,1.0920370817184448,-1.91,0.0,0.913240373134613,-0.004362594336271286,0.7273,0.9007
Jakub Skarek,SJS,G,8480819,26,3.0,2.1137375831604004,-0.89,0.0,1.7656528949737549,-0.005206946283578873,0.8846,0.9187
Tristan Lennox,NYI,G,8482668,23,3.0,1.869296669960022,-1.13,-0.01,1.5526468753814697,-0.00524560920894146,0.8696,0.9187
Vyacheslav Buteyets,ANA,G,8483746,19,3.0,1.8408712148666382,-1.16,0.0,1.540789008140564,-0.007166502997279167,0.8421,0.9031
Pheonix Copley,LAK,G,8477831,54,4.0,3.9492862224578857,-0.05,-0.01,3.279125452041626,-0.007685273885726929,0.9259,0.9269
Samuel Hlavaj,MIN,G,8482085,16,4.0,1.4086873531341553,-2.59,0.01,1.1856391429901123,-0.007705755531787872,0.75,0.912
Nico Daws,NJD,G,8482076,149,12.0,14.043920516967773,2.04,0.04,11.73964786529541,-0.00773422047495842,0.9195,0.9057
Ty Young,VAN,G,8483751,18,4.0,1.6174463033676147,-2.38,-0.0,1.3515334129333496,-0.0079683568328619,0.7778,0.9101
Jaxson Stauber,UTA,G,8483530,23,4.0,1.674880862236023,-2.33,0.0,1.4027836322784424,-0.008347395807504654,0.8261,0.9272
Talyn Boyko,NYR,G,8482869,31,4.0,2.95672345161438,-1.04,-0.0,2.470524787902832,-0.008609723299741745,0.871,0.9046
Domenic DiVincentiis,WPG,G,8483711,33,4.0,2.718255043029785,-1.28,-0.0,2.274580478668213,-0.008978057652711868,0.8788,0.9176
Harrison Meneghin,TBL,G,8484636,23,4.0,2.3993563652038574,-1.6,-0.0,2.0030581951141357,-0.009115749970078468,0.8261,0.8957
Cooper Black,FLA,G,8484900,26,4.0,2.1685984134674072,-1.83,-0.0,1.8116886615753174,-0.009124049916863441,0.8462,0.9166
Matt Tomkins,EDM,G,8477035,49,5.0,3.774123430252075,-1.23,-0.01,3.144261360168457,-0.013257557526230812,0.898,0.923
Marcus Hogberg,NYI,G,8477405,51,5.0,3.90010142326355,-1.1,-0.0,3.2558977603912354,-0.014506707899272442,0.902,0.9235
Alexandar Georgiev,,G,8480382,131,11.0,12.148088455200195,1.15,-0.0,10.149826049804688,-0.020283788442611694,0.916,0.9073
Sebastian Cossa,DET,G,8482657,55,6.0,3.999162435531616,-2.0,0.0,3.351821184158325,-0.02074149250984192,0.8909,0.9273
Ivan Prosvetov,CGY,G,8481031,68,7.0,3.9601352214813232,-3.04,-0.01,3.3206872940063477,-0.028713352978229523,0.8971,0.9418
Michael DiPietro,BOS,G,8480022,68,8.0,6.292568683624268,-1.71,-0.02,5.25621223449707,-0.03136153519153595,0.8824,0.9075
Thomas Milic,WPG,G,8483114,109,9.0,8.782529830932617,-0.22,-0.01,7.336399078369141,-0.0344812236726284,0.9174,0.9194
Jiri Patera,VAN,G,8480238,50,7.0,4.289422035217285,-2.71,-0.01,3.6039628982543945,-0.036509521305561066,0.86,0.9142
James Reimer,OTT,G,8473503,525,37.0,43.707313537597656,6.71,-0.03,36.43806457519531,-0.03685824200510979,0.9295,0.9167
Brandon Halverson,TBL,G,8477990,120,9.0,8.836023330688477,-0.16,0.01,7.401118278503418,-0.03710022568702698,0.925,0.9264
Laurent Brossoit,SJS,G,8476316,47,6.0,3.737579584121704,-2.26,-0.01,3.1379122734069824,-0.03784335032105446,0.8723,0.9205
Mads Sogaard,OTT,G,8481544,75,8.0,6.170310974121094,-1.83,0.01,5.194882392883301,-0.04482973366975784,0.8933,0.9177
