player_name,team,position,shooter_id,mu_theta,theta_latest,theta_min,theta_max,shots_taken,goals_actual,goals_xg_only,fsax_raw,goalie_difficulty_adj,fsax
Matvei Gridin,CGY,R,8484860,4.924935183225898e-06,-0.0012683559907600284,-0.0012716737110167742,-0.0003385326126590371,8.0,1.0,1.444,-0.444,0.008,-0.0008
Matthew Barbolini,,C,8484888,6.242407124545934e-08,0.0024320778902620077,0.0024209218099713326,0.0024394288193434477,1.0,1.0,0.045,0.955,0.0,0.0001
Jaxon Nelson,,C,8484899,-1.1911048147794645e-08,7.024288061074913e-05,5.909127139602788e-05,7.759639265714213e-05,,,,,,
Collin Graf,SJS,R,8484911,-2.1816145817865618e-05,-0.0006275402847677469,-0.0006275402847677469,-0.00038391308044083416,3.0,0.0,0.153,-0.153,-0.0,-0.0001
Oliver Okuliar,FLA,L,8484935,5.9208673519606236e-08,7.031897257547826e-05,5.916584632359445e-05,7.767181523377076e-05,,,,,,
Arttu Hyry,DAL,R,8484938,3.40996848535724e-08,7.02914476278238e-05,5.913879067520611e-05,7.764439942548051e-05,,,,,,
Maxim Tsyplakov,NJD,R,8484958,-9.991171623369155e-08,7.014899892965332e-05,5.899887764826417e-05,7.750294753350317e-05,,,,,,
Jere Innala,,L,8484976,-2.8123455194872804e-05,6.084686901886016e-05,6.006805051583797e-06,0.00013858437887392938,,,,,,
Ivan Demidov,MTL,R,8484984,-3.212125739082694e-05,-0.002438219729810953,-0.00290164933539927,-0.002111549023538828,25.0,2.0,3.238,-1.238,-0.004,-0.0067
Igor Chernyshov,SJS,L,8484994,-2.1081932572997175e-06,0.003287708619609475,0.0021247861441224813,0.003292969660833478,2.0,1.0,0.194,0.806,0.002,0.0005
Hiroki Gojsic,NSH,R,8485005,-8.26537682740991e-09,7.024586375337094e-05,5.909494939260185e-05,7.759891741443425e-05,,,,,,
