shooter_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8473512,Claude Giroux,OTT,4,-1,90.0,25.98,1,0,0.09315488,0.09244362223848067,-0.0924,-0.0924
8473533,Jordan Staal,CAR,3,-3,67.5,-38.97,1,0,0.062489226,0.07063262545386359,-0.0706,-0.0706
8473533,Jordan Staal,CAR,3,-2,67.5,-12.99,2,0,0.16730669,0.1679040523119251,-0.1679,-0.084
8473533,Jordan Staal,CAR,4,-2,90.0,0.0,4,1,0.434256786,0.409160196144363,0.5908,0.1477
8473604,Jonathan Toews,WPG,3,-2,67.5,-12.99,4,1,0.439425779,0.3956997627202584,0.6043,0.1511
8473604,Jonathan Toews,WPG,3,-1,67.5,12.99,6,0,0.47504977800000003,0.4671277868433779,-0.4671,-0.0778
8473604,Jonathan Toews,WPG,3,0,67.5,38.97,1,0,0.04551294,0.05707112845744612,-0.0571,-0.0571
8473604,Jonathan Toews,WPG,4,-2,90.0,0.0,2,0,0.28106837,0.24395270616816883,-0.244,-0.122
8473986,Alex Killorn,ANA,2,-2,45.0,-25.98,1,0,0.033082623,0.04730232557209704,-0.0473,-0.0473
8473986,Alex Killorn,ANA,2,0,45.0,25.98,1,0,0.017762627,0.030272757735270245,-0.0303,-0.0303
8473986,Alex Killorn,ANA,3,-3,67.5,-38.97,1,0,0.029874144,0.04371756392869484,-0.0437,-0.0437
8473986,Alex Killorn,ANA,3,-2,67.5,-12.99,1,0,0.038225606,0.049989489552299926,-0.05,-0.05
8473986,Alex Killorn,ANA,3,-1,67.5,12.99,1,0,0.19956936,0.15286726554675223,-0.1529,-0.1529
8473986,Alex Killorn,ANA,3,0,67.5,38.97,1,0,0.04193493,0.053145608064091146,-0.0531,-0.0531
8473986,Alex Killorn,ANA,4,-2,90.0,0.0,4,0,0.510380254,0.4399334460742758,-0.4399,-0.11
8473994,Jamie Benn,DAL,3,-2,67.5,-12.99,1,0,0.053482197,0.06330005683251971,-0.0633,-0.0633
8474013,Ian Cole,UTA,4,-2,90.0,0.0,1,0,0.20759001,0.1585707708754783,-0.1586,-0.1586
8474037,James van Riemsdyk,DET,3,-2,67.5,-12.99,2,0,0.2531531,0.22291230304916254,-0.2229,-0.1114
8474037,James van Riemsdyk,DET,3,-1,67.5,12.99,1,0,0.20973374,0.1625850322404912,-0.1626,-0.1626
8474037,James van Riemsdyk,DET,4,-2,90.0,0.0,14,1,1.545877784,1.391747704310148,-0.3917,-0.028
8474102,David Perron,OTT,2,-1,45.0,0.0,1,0,0.105790354,0.09886405574280772,-0.0989,-0.0989
8474102,David Perron,OTT,3,-2,67.5,-12.99,1,0,0.1568426,0.12961619212771297,-0.1296,-0.1296
8474102,David Perron,OTT,3,-1,67.5,12.99,3,0,0.40827743,0.350067474145803,-0.3501,-0.1167
8474102,David Perron,OTT,4,-2,90.0,0.0,3,0,0.37661522999999997,0.33283498666524847,-0.3328,-0.1109
8474141,Patrick Kane,DET,1,-1,22.5,-12.99,1,0,0.029519169,0.04227129110980265,-0.0423,-0.0423
8474141,Patrick Kane,DET,2,-1,45.0,0.0,1,0,0.070967965,0.07655711795037874,-0.0766,-0.0766
8474141,Patrick Kane,DET,3,-3,67.5,-38.97,1,0,0.11276558,0.10234660402787638,-0.1023,-0.1023
8474141,Patrick Kane,DET,3,-2,67.5,-12.99,7,0,0.641983982,0.6223153188084003,-0.6223,-0.0889
8474141,Patrick Kane,DET,4,-2,90.0,0.0,1,0,0.069604434,0.07630519725986279,-0.0763,-0.0763
8474149,Evgenii Dadonov,NJD,3,-1,67.5,12.99,1,0,0.016976897,0.030015416917362894,-0.03,-0.03
8474150,Mikael Backlund,CGY,1,-1,22.5,-12.99,1,0,0.057811,0.06616063219907997,-0.0662,-0.0662
8474150,Mikael Backlund,CGY,2,-2,45.0,-25.98,1,0,0.1337586,0.11666723511184081,-0.1167,-0.1167
8474150,Mikael Backlund,CGY,2,0,45.0,25.98,2,0,0.077783152,0.09817154564986562,-0.0982,-0.0491
8474150,Mikael Backlund,CGY,3,-2,67.5,-12.99,3,0,0.246425043,0.2311549866331325,-0.2312,-0.0771
8474150,Mikael Backlund,CGY,3,-1,67.5,12.99,1,0,0.05545183,0.06356017047308267,-0.0636,-0.0636
8474150,Mikael Backlund,CGY,3,0,67.5,38.97,1,0,0.02450986,0.03807229711412477,-0.0381,-0.0381
8474150,Mikael Backlund,CGY,4,-2,90.0,0.0,2,1,0.35223004,0.2781702269294304,0.7218,0.3609
8474151,Ryan McDonagh,TBL,2,-1,45.0,0.0,1,0,0.08538512,0.0881155852093204,-0.0881,-0.0881
8474151,Ryan McDonagh,TBL,4,-3,90.0,-25.98,1,0,0.061294332,0.06996815916211466,-0.07,-0.07
8474189,Lars Eller,OTT,4,-2,90.0,0.0,2,1,0.31892695,0.26242383587821205,0.7376,0.3688
8474563,Drew Doughty,LAK,1,-1,22.5,-12.99,2,0,0.09277027,0.11515402073442485,-0.1152,-0.0576
8474563,Drew Doughty,LAK,1,0,22.5,12.99,1,0,0.041571047,0.05459183421330388,-0.0546,-0.0546
8474563,Drew Doughty,LAK,2,-1,45.0,0.0,2,0,0.114217305,0.13321098954191568,-0.1332,-0.0666
8474563,Drew Doughty,LAK,2,0,45.0,25.98,2,0,0.097917771,0.11731123465754266,-0.1173,-0.0586
8474563,Drew Doughty,LAK,4,-2,90.0,0.0,1,0,0.07469605,0.07831504251663249,-0.0783,-0.0783
8474564,Steven Stamkos,NSH,2,-1,45.0,0.0,1,0,0.07791515,0.08181264070924263,-0.0818,-0.0818
8474564,Steven Stamkos,NSH,2,0,45.0,25.98,3,0,0.225922485,0.23983129078114618,-0.2398,-0.0799
8474564,Steven Stamkos,NSH,3,-2,67.5,-12.99,1,1,0.24633236,0.18153744498064175,0.8185,0.8185
8474564,Steven Stamkos,NSH,3,-1,67.5,12.99,14,3,1.559208532,1.4505072123405274,1.5495,0.1107
8474564,Steven Stamkos,NSH,3,0,67.5,38.97,7,0,0.53930952,0.5605944825153916,-0.5606,-0.0801
8474564,Steven Stamkos,NSH,4,-2,90.0,0.0,3,0,0.307660025,0.29089260180211596,-0.2909,-0.097
8474564,Steven Stamkos,NSH,4,-1,90.0,25.98,4,0,0.54856776,0.4748360885413457,-0.4748,-0.1187
8474568,Luke Schenn,WPG,2,-2,45.0,-25.98,1,0,0.027008818,0.040609927935693804,-0.0406,-0.0406
8474568,Luke Schenn,WPG,4,-1,90.0,25.98,1,0,0.10076629,0.09566121141633852,-0.0957,-0.0957
8474574,Tyler Myers,DAL,2,-2,45.0,-25.98,1,0,0.06383483,0.07090188075123231,-0.0709,-0.0709
8474574,Tyler Myers,DAL,2,0,45.0,25.98,1,0,0.021238236,0.03556615662487874,-0.0356,-0.0356
8474574,Tyler Myers,DAL,3,-2,67.5,-12.99,1,0,0.09080743,0.0900110221774273,-0.09,-0.09
8474574,Tyler Myers,DAL,3,-1,67.5,12.99,1,0,0.14195153,0.12345030404482947,-0.1235,-0.1235
8474578,Erik Karlsson,PIT,1,-1,22.5,-12.99,4,0,0.184437619,0.22876345292020883,-0.2288,-0.0572
8474578,Erik Karlsson,PIT,2,-2,45.0,-25.98,2,0,0.103224724,0.1204745564902521,-0.1205,-0.0602
8474578,Erik Karlsson,PIT,2,-1,45.0,0.0,6,0,0.49265939999999997,0.49358677778453175,-0.4936,-0.0823
8474578,Erik Karlsson,PIT,2,0,45.0,25.98,4,0,0.15711963699999998,0.20351156012074434,-0.2035,-0.0509
8474578,Erik Karlsson,PIT,3,-2,67.5,-12.99,1,0,0.079384096,0.08218638432071429,-0.0822,-0.0822
8474578,Erik Karlsson,PIT,3,0,67.5,38.97,1,0,0.019446494,0.03264823158972572,-0.0326,-0.0326
8474586,Jordan Eberle,SEA,2,-1,45.0,0.0,1,0,0.011779835,0.02376273967260864,-0.0238,-0.0238
8474586,Jordan Eberle,SEA,3,-2,67.5,-12.99,1,0,0.0183229,0.03160541187947046,-0.0316,-0.0316
8474586,Jordan Eberle,SEA,4,-2,90.0,0.0,13,1,1.957639015,1.6325391564736322,-0.6325,-0.0487
8474586,Jordan Eberle,SEA,4,-1,90.0,25.98,1,0,0.09473058,0.09306502852250045,-0.0931,-0.0931
8474590,John Carlson,WSH,1,-1,22.5,-12.99,2,0,0.25993134,0.21001098719565633,-0.21,-0.105
8474590,John Carlson,WSH,1,0,22.5,12.99,1,0,0.029647196,0.042259862873985234,-0.0423,-0.0423
8474590,John Carlson,WSH,2,-2,45.0,-25.98,1,0,0.048926096,0.059834774954737116,-0.0598,-0.0598
8474590,John Carlson,WSH,2,-1,45.0,0.0,3,0,0.352326338,0.29838072598892973,-0.2984,-0.0995
8474590,John Carlson,WSH,2,0,45.0,25.98,1,0,0.19415322,0.15005142715753697,-0.1501,-0.1501
8474590,John Carlson,WSH,3,-2,67.5,-12.99,1,0,0.036733173,0.049335061447378196,-0.0493,-0.0493
8474590,John Carlson,WSH,4,-1,90.0,25.98,1,0,0.11052627,0.10209869239442389,-0.1021,-0.1021
8474600,Roman Josi,NSH,1,0,22.5,12.99,1,0,0.042699505,0.055072972695153696,-0.0551,-0.0551
8474600,Roman Josi,NSH,2,-2,45.0,-25.98,6,0,0.472870318,0.4828697742360317,-0.4829,-0.0805
8474600,Roman Josi,NSH,2,-1,45.0,0.0,3,0,0.16696571300000002,0.19630620175534055,-0.1963,-0.0654
